	C:\Users\E.S.P. Amsterdam\Documents\Qualisys\NTH D050 Functional Assessment\Data\Jongerius_000\Markerless_2022-09-02\Generic markerless session\Generic Markerless 4.c3d	C:\Users\E.S.P. Amsterdam\Documents\Qualisys\NTH D050 Functional Assessment\Data\Jongerius_000\Markerless_2022-09-02\Generic markerless session\Generic Markerless 4.c3d	C:\Users\E.S.P. Amsterdam\Documents\Qualisys\NTH D050 Functional Assessment\Data\Jongerius_000\Markerless_2022-09-02\Generic markerless session\Generic Markerless 4.c3d	C:\Users\E.S.P. Amsterdam\Documents\Qualisys\NTH D050 Functional Assessment\Data\Jongerius_000\Markerless_2022-09-02\Generic markerless session\Generic Markerless 4.c3d	C:\Users\E.S.P. Amsterdam\Documents\Qualisys\NTH D050 Functional Assessment\Data\Jongerius_000\Markerless_2022-09-02\Generic markerless session\Generic Markerless 4.c3d	C:\Users\E.S.P. Amsterdam\Documents\Qualisys\NTH D050 Functional Assessment\Data\Jongerius_000\Markerless_2022-09-02\Generic markerless session\Generic Markerless 4.c3d	C:\Users\E.S.P. Amsterdam\Documents\Qualisys\NTH D050 Functional Assessment\Data\Jongerius_000\Markerless_2022-09-02\Generic markerless session\Generic Markerless 4.c3d	C:\Users\E.S.P. Amsterdam\Documents\Qualisys\NTH D050 Functional Assessment\Data\Jongerius_000\Markerless_2022-09-02\Generic markerless session\Generic Markerless 4.c3d	C:\Users\E.S.P. Amsterdam\Documents\Qualisys\NTH D050 Functional Assessment\Data\Jongerius_000\Markerless_2022-09-02\Generic markerless session\Generic Markerless 4.c3d	C:\Users\E.S.P. Amsterdam\Documents\Qualisys\NTH D050 Functional Assessment\Data\Jongerius_000\Markerless_2022-09-02\Generic markerless session\Generic Markerless 4.c3d	C:\Users\E.S.P. Amsterdam\Documents\Qualisys\NTH D050 Functional Assessment\Data\Jongerius_000\Markerless_2022-09-02\Generic markerless session\Generic Markerless 4.c3d	C:\Users\E.S.P. Amsterdam\Documents\Qualisys\NTH D050 Functional Assessment\Data\Jongerius_000\Markerless_2022-09-02\Generic markerless session\Generic Markerless 4.c3d
	Left Ankle Angles	Left Knee Angles	Left Hip Angles	Left Shoulder Angles	Left Elbow Angles	Left Wrist Angles	Right Ankle Angles	Right Knee Angles	Right Hip Angles	Right Shoulder Angles	Right Elbow Angles	Right Wrist Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X
1												
2	6.64376	9.71715	-12.09449	13.94105	29.94425	-10.95195	1.81535	11.90251	10.45398	3.14225	35.97744	-11.80960
3	5.41973	16.81715	-9.43292	17.18302	28.30630	-10.19196	1.87963	11.82672	8.29485	9.38230	22.75579	-11.23131
4	1.88668	22.88828	-6.38183	8.44787	34.74008	-9.67994	5.73374	13.57952	7.62432	5.78708	25.92097	-7.37920
5	-0.55798	30.35192	-3.38492	4.14462	36.73673	-12.56201	7.54053	11.82750	2.66753	6.51622	23.59601	-5.07713
6	1.74856	35.97759	-0.49504	2.56763	36.08570	-15.61613	8.48519	8.24536	-3.07268	9.08550	17.98192	-2.37584
7	6.86740	39.06380	3.35799	1.05481	35.99259	-14.23438	9.89812	5.84948	-5.70850	11.30610	11.41648	-1.66027
8	10.37916	39.73335	7.12175	-0.87542	37.21436	-9.24104	10.81944	5.72380	-6.15734	12.12484	8.67405	-3.75735
9	11.61301	38.14557	9.28412	-2.20938	37.44775	-6.28841	10.74340	7.36877	-7.20274	11.98890	10.45677	-5.02594
10	12.30580	35.34181	11.79636	-2.11673	34.54803	-7.25043	11.47443	9.97995	-8.20659	12.24427	12.89129	-3.18354
